division,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,odds_home,odds_draw,odds_away
1,2018-03-11,Inter,Napoli,0,0,2,0,0,2,04.09,3.51,02.02
1,2018-03-11,Juventus,Udinese,2,0,1,1,0,1,1.26,5.97,15.75
1,2018-03-11,Sassuolo,Spal,1,1,2,1,1,2,02.06,3.35,4.15
1,2018-03-14,Juventus,Atalanta,2,0,1,1,0,1,1.44,4.54,8.87
1,2018-03-17,Spal,Juventus,0,0,2,0,0,2,12.39,5.41,1.32
1,2018-03-17,Udinese,Sassuolo,1,2,3,1,1,2,2.22,3.26,3.75
1,2018-03-18,Benevento,Cagliari,1,2,3,0,0,2,2.62,3.37,2.88
1,2018-03-18,Crotone,Roma,0,2,3,0,1,3,6.78,4.43,1.53
1,2018-03-18,Lazio,Bologna,1,1,2,1,1,2,1.35,5.27,10.61
1,2018-03-18,Milan,Chievo,3,2,1,1,2,3,1.37,05.03,10.27
1,2018-03-18,Napoli,Genoa,1,0,1,0,0,2,1.22,6.63,17.64
1,2018-03-18,Sampdoria,Inter,0,5,3,0,4,3,3.96,3.43,02.06
1,2018-03-18,Torino,Fiorentina,1,2,3,0,0,2,2.32,3.41,3.32
1,2018-03-18,Verona,Atalanta,0,5,3,0,2,3,07.09,4.25,1.54
1,2018-03-31,Atalanta,Udinese,2,0,1,0,0,2,1.44,4.68,8.66
1,2018-03-31,Bologna,Roma,1,1,2,1,0,1,5.37,3.99,1.7
1,2018-03-31,Cagliari,Torino,0,4,3,0,0,2,2.99,3.41,2.52
1,2018-03-31,Chievo,Sampdoria,2,1,1,0,1,3,2.33,3.43,3.28
1,2018-03-31,Fiorentina,Crotone,2,0,1,1,0,1,1.52,4.39,7.25
1,2018-03-31,Genoa,Spal,1,1,2,1,0,1,1.96,3.27,4.77
1,2018-03-31,Inter,Verona,3,0,1,2,0,1,1.15,8.97,20.67
1,2018-03-31,Juventus,Milan,3,1,1,1,1,2,1.63,3.86,6.71
1,2018-03-31,Lazio,Benevento,6,2,1,1,1,2,1.21,7.31,15.4
1,2018-03-31,Sassuolo,Napoli,1,1,2,1,0,1,9.98,5.45,1.35
1,2018-04-03,Atalanta,Sampdoria,1,2,3,0,1,3,1.45,4.82,7.73
1,2018-04-03,Genoa,Cagliari,2,1,1,0,0,2,1.82,3.46,5.36
1,2018-04-03,Udinese,Fiorentina,0,2,3,0,1,3,3.63,3.39,2.2
1,2018-04-04,Benevento,Verona,3,0,1,1,0,1,1.83,3.97,4.39
1,2018-04-04,Chievo,Sassuolo,1,1,2,0,0,2,2.89,03.06,2.88
1,2018-04-04,Milan,Inter,0,0,2,0,0,2,2.8,3.23,2.79
1,2018-04-04,Torino,Crotone,4,1,1,3,0,1,1.54,4.21,7.18
1,2018-04-07,Benevento,Juventus,2,4,3,1,2,3,16.18,5.87,1.24
1,2018-04-07,Roma,Fiorentina,0,2,3,0,2,3,1.8,3.75,4.93
1,2018-04-07,Sampdoria,Genoa,0,0,2,0,0,2,2.77,3.21,2.83
1,2018-04-07,Spal,Atalanta,1,1,2,1,0,1,4.72,3.59,1.87
1,2018-04-08,Crotone,Bologna,1,0,1,1,0,1,2.33,3.19,3.53
1,2018-04-08,Milan,Sassuolo,1,1,2,0,0,2,1.49,4.41,7.84
1,2018-04-08,Napoli,Chievo,2,1,1,0,0,2,1.14,8.32,24.83
1,2018-04-08,Torino,Inter,1,0,1,1,0,1,3.96,3.42,02.08
1,2018-04-08,Udinese,Lazio,1,2,3,1,2,3,4.8,3.83,1.8
1,2018-04-08,Verona,Cagliari,1,0,1,1,0,1,3.63,3.45,2.18
1,2018-04-14,Atalanta,Inter,0,0,2,0,0,2,2.81,3.27,2.75
1,2018-04-14,Cagliari,Udinese,2,1,1,1,1,2,2.54,3.18,3.15
